Level,School Name,Grade,Calendar,Magnet Program,School Membership 2008-09,KI-Kindergarten,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,MALE,FEMALE,American Indian,Asian,Hispanic or Latino,Black or African American,White,Multi - Racial,Percent American Indian,Percent Asian,Percent Hispanic or Latino,Percent Black or African American,Percent White,Percent Multi - Racial,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2007-08,"NC ABC Results Growth Recognition
 2007-08","NC ABC Results Performance Recognition
 2007-08",AYP Status,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location in Municipal Corporate Limits ,"Number Perma-
nent Learning Spaces","20th Day Actual Member-
ship","Special Needs Program Adjust-
ment",Existing School Building Capacity,Existing Mobiles,Annual School Campus Capacity [ASCC],Percent in Mobile Units,Percent Crowding Using Existing Mobiles
E,Brier Creek Elementary ,KI-5,Y-R,N/A,657,140,122,106,109,101,79,,,,,,,,316,341,3,71,57,139,336,51,0.5%,10.8%,8.7%,21.2%,51.1%,7.8%,122,18.6%,37,5.6%,91,13.9%,NO,76.1,High Growth,School of Progress,Yes,West Raleigh/Morrisville,Patti Head,Northern Area,Ann Hooker,Raleigh,RALEIGH,38,657,14,728,6,880,15.6%,74.7%
E,Brooks Elementary,KI-5,T,Museums,507,111,87,86,66,77,80,,,,,,,,262,245,2,14,101,80,290,20,0.4%,2.8%,19.9%,15.8%,57.2%,3.9%,138,27.2%,56,11.0%,93,18.3%,NO,74.8,High Growth,School of Progress,Yes,Central Raleigh,Beverley Clark,Northern Area,Ann Hooker,Raleigh,RALEIGH,33,507,26,477,1,526,4.3%,96.4%
E,Bugg Elementary,KI-5,T,Creative Arts & Science,425,59,79,63,63,79,82,,,,,,,,217,208,,6,32,328,48,11,0.0%,1.4%,7.5%,77.2%,11.3%,2.6%,209,49.2%,22,5.2%,29,6.8%,YES,59.6,High Growth,Priority School,No,East Raleigh,Rosa Gill,South-Western Area,Julye Mizelle,Raleigh,RALEIGH,18,425,(43),90,16,415,88.6%,102.4%
E,Carpenter Elementary,KI-5,Y-R,N/A,674,162,144,119,103,80,66,,,,,,,,341,333,,157,79,62,339,37,0.0%,23.3%,11.7%,9.2%,50.3%,5.5%,103,15.3%,78,11.6%,132,19.6%,NO,85,High Growth,School of Distinction,Yes,West Raleigh/Morrisville,Patti Head,Western Area,Kathy Chontos,Cary,CARY,37,674,28,705,0,733,0.0%,92.0%
E,Carver Elementary,KI-5,MOD,N/A,553,95,107,94,78,82,97,,,,,,,,270,283,1,2,180,148,198,24,0.2%,0.4%,32.5%,26.8%,35.8%,4.3%,319,57.7%,79,14.3%,140,25.3%,YES,65,Expected Growth,School of Progress,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Wendell,WENDELL,39,553,(154),632,10,708,32.4%,78.1%
E,Cary Elementary,KI-5,T,N/A,510,74,95,91,83,76,91,,,,,,,,264,246,1,18,85,72,297,37,0.2%,3.5%,16.7%,14.1%,58.2%,7.3%,153,30.0%,67,13.1%,84,16.5%,NO,72.8,High Growth,School of Progress,No,Western Wake,Eleanor Goettee,Western Area,Kathy Chontos,Cary,CARY,36,510,(32),563,0,531,0.0%,96.0%
E,Cedar Fork Elementary,KI-5,T,N/A,820,169,154,142,132,114,109,,,,,,,,428,392,5,345,43,94,296,37,0.6%,42.1%,5.2%,11.5%,36.1%,4.5%,90,11.0%,70,8.5%,213,26.0%,NO,84.9,High Growth,School of Distinction,Yes,West Raleigh/Morrisville,Patti Head,Western Area,Kathy Chontos,Morrisville,MORRISVILLE,36,820,0,563,6,701,19.6%,117.0%
E,Combs Elementary,KI-5,T,Leadership,820,145,154,125,126,141,129,,,,,,,,429,391,1,62,112,212,393,40,0.1%,7.6%,13.7%,25.9%,47.9%,4.9%,261,31.8%,84,10.2%,132,16.1%,YES,69.1,Expected Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,Central Area,Cathy Moore,Raleigh,RALEIGH,34,820,(71),523,13,751,39.8%,109.2%
E,Conn Elementary,KI-5,T,Active Learning and Technology,598,97,111,118,94,96,82,,,,,,,,302,296,,3,41,312,213,29,0.0%,0.5%,6.9%,52.2%,35.6%,4.8%,256,42.8%,16,2.7%,27,4.5%,YES,56.6,Not Met Exp. Growth,Priority School,No,East Raleigh,Rosa Gill,Central Area,Cathy Moore,Raleigh,RALEIGH,36,598,(64),536,4,564,16.3%,106.0%
E,Creech Road Elementary,KI-5,T,N/A,585,97,92,98,106,96,96,,,,,,,,297,288,5,5,136,294,111,34,0.9%,0.9%,23.2%,50.3%,19.0%,5.8%,376,64.3%,54,9.2%,78,13.3%,YES,50.4,Not Met Exp. Growth,Priority School,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Garner,GARNER,39,585,(147),632,5,600,19.1%,97.5%
E,Davis Drive Elementary,KI-5,T,N/A,975,137,158,159,142,198,181,,,,,,,,486,489,2,253,91,76,500,53,0.2%,25.9%,9.3%,7.8%,51.3%,5.4%,142,14.6%,155,15.9%,188,19.3%,NO,93.4,High Growth,Honor Schools of Excellence,Yes,Southern Wake,Ron Margiotta,Western Area,Kathy Chontos,Cary,CARY,39,975,(34),632,13,897,33.3%,108.7%
E,Dillard Drive Elementary,KI-5,T,N/A,649,111,114,129,121,89,85,,,,,,,,306,343,2,53,108,137,297,52,0.3%,8.2%,16.6%,21.1%,45.8%,8.0%,256,39.4%,59,9.1%,134,20.6%,YES,79.8,High Growth,School of Progress,Yes,South Central Raleigh,Anne McLaurin,South-Western Area,Julye Mizelle,Raleigh,RALEIGH,36,649,(78),563,10,715,32.1%,90.8%
E,Douglas Elementary,KI-5,T,Creative Arts & Science,578,103,111,97,104,74,89,,,,,,,,268,310,,11,112,121,307,27,0.0%,1.9%,19.4%,20.9%,53.1%,4.7%,206,35.6%,65,11.2%,75,13.0%,YES,61.4,Expected Growth,School of Progress,No,Central Raleigh,Beverley Clark,Northern Area,Ann Hooker,Raleigh,RALEIGH,32,578,(18),412,10,624,36.8%,92.6%
E,Durant Road Elementary,KI-5,Y-R,N/A,963,166,145,162,163,172,155,,,,,,,,503,460,3,25,191,236,459,49,0.3%,2.6%,19.8%,24.5%,47.7%,5.1%,325,33.7%,119,12.4%,167,17.3%,NO,65.5,High Growth,School of Progress,No,North Raleigh,Kevin Hill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,35,963,(60),659,18,1013,40.8%,95.1%
E,East Garner Elementary,KI-5,Y-R,N/A,635,98,128,114,105,86,104,,,,,,,,311,324,,12,169,357,58,39,0.0%,1.9%,26.6%,56.2%,9.1%,6.1%,374,58.9%,56,8.8%,99,15.6%,YES,61,High Growth,School of Progress,Yes,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Garner,GARNER,46,635,(59),963,0,904,0.0%,70.2%
E,Farmington Woods Elementary,KI-5,T,IB Primary Years Programme,854,141,153,145,150,138,127,,,,,,,,416,438,1,83,123,161,431,55,0.1%,9.7%,14.4%,18.9%,50.5%,6.4%,290,34.0%,55,6.4%,97,11.4%,NO,72.4,Expected Growth,School of Progress,No,Western Wake,Eleanor Goettee,Western Area,Kathy Chontos,Cary,CARY,36,854,(46),523,13,776,38.5%,110.1%
E,Forest Pines Elementary,KI-5,T,N/A,711,111,135,112,121,112,120,,,,,,,,349,362,,28,81,112,461,29,0.0%,3.9%,11.4%,15.8%,64.8%,4.1%,167,23.5%,53,7.5%,74,10.4%,NO,76.1,High Growth,School of Progress,No,North Raleigh,Kevin Hill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,40,711,0,655,0,655,0.0%,108.5%
E,Forestville Road Elementary,KI-5,T,N/A,604,84,103,108,97,115,97,,,,,,,,292,312,3,12,89,260,212,28,0.5%,2.0%,14.7%,43.0%,35.1%,4.6%,260,43.0%,44,7.3%,66,10.9%,YES,65.3,High Growth,School of Progress,Yes,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,38,604,(138),609,6,609,22.6%,99.2%
E,Fox Road Elementary,KI-5,T,N/A,876,150,147,143,156,141,139,,,,,,,,438,438,,45,216,429,142,44,0.0%,5.1%,24.7%,49.0%,16.2%,5.0%,530,60.5%,100,11.4%,204,23.3%,YES,57,High Growth,Priority School,No,North Raleigh,Kevin Hill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,35,876,(147),540,23,922,57.3%,95.0%
E,Fuller Elementary,KI-5,T,Gifted & Talented (AG Basics),548,85,82,85,88,101,107,,,,,,,,271,277,7,189,32,202,98,20,1.3%,34.5%,5.8%,36.9%,17.9%,3.6%,186,33.9%,14,2.6%,32,5.8%,NO,71.8,Expected Growth,School of Progress,No,East Raleigh,Rosa Gill,South-Western Area,Julye Mizelle,Raleigh,RALEIGH,30,548,3,339,8,526,34.9%,104.2%
E,Fuquay-Varina Elementary,KI-5,T,N/A,946,145,140,152,172,152,185,,,,,,,,478,468,1,14,122,170,583,56,0.1%,1.5%,12.9%,18.0%,61.6%,5.9%,304,32.1%,40,4.2%,66,7.0%,NO,67.5,High Growth,School of Progress,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,35,946,(4),540,18,950,43.5%,99.6%
E,Green Elementary,KI-5,Y-R,N/A,476,71,83,68,92,84,78,,,,,,,,266,210,1,14,84,125,217,35,0.2%,2.9%,17.6%,26.3%,45.6%,7.4%,183,38.4%,55,11.6%,75,15.8%,YES,64.3,Expected Growth,School of Progress,No,Central Raleigh,Beverley Clark,Northern Area,Ann Hooker,Raleigh,RALEIGH,33,476,(38),613,4,667,13.7%,71.4%
E,Green Hope Elementary,KI-5,Y-R,N/A,807,137,140,135,133,125,137,,,,,,,,396,411,1,196,48,73,446,43,0.1%,24.3%,5.9%,9.0%,55.3%,5.3%,80,9.9%,27,3.3%,92,11.4%,NO,87.5,High Growth,School of Distinction,Yes,West Raleigh/Morrisville,Patti Head,Western Area,Kathy Chontos,Cary,CARY,38,807,102,779,9,1088,19.0%,74.2%
E,Harris Creek Elementary,KI-5,Y-R,N/A,854,165,147,165,131,124,122,,,,,,,,454,400,1,22,125,289,354,63,0.1%,2.6%,14.6%,33.8%,41.5%,7.4%,263,30.8%,60,7.0%,105,12.3%,YES,67.2,High Growth,School of Progress,Yes,Northeast Wake,Lori Millberg,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,48,854,30,1009,0,1039,0.0%,82.2%
E,Heritage Elementary,KI-5,Y-R,N/A,819,135,163,145,124,143,109,,,,,,,,421,398,2,12,39,134,593,39,0.2%,1.5%,4.8%,16.4%,72.4%,4.8%,140,17.1%,15,1.8%,36,4.4%,NO,81.9,High Growth,School of Distinction,Yes,Northeast Wake,Lori Millberg,North-Eastern Area,Andre Smith,Wake Forest,WAKE FOREST,37,819,83,705,7,949,16.9%,86.3%
E,Highcroft Drive Elementary,KI-5,Y-R,N/A,692,119,123,138,99,112,101,,,,,,,,387,305,,87,20,33,519,33,0.0%,12.6%,2.9%,4.8%,75.0%,4.8%,48,6.9%,15,2.2%,44,6.4%,NO,91.1,High Growth,Honor Schools of Excellence,Yes,Southern Wake,Ron Margiotta,Western Area,Kathy Chontos,Cary,CARY,38,692,81,779,9,1067,19.4%,64.9%
E,Hilburn Drive Elementary,KI-5,T,N/A,550,100,99,92,94,86,79,,,,,,,,294,256,1,38,91,176,205,39,0.2%,6.9%,16.5%,32.0%,37.3%,7.1%,231,42.0%,47,8.5%,75,13.6%,YES,73.2,High Growth,School of Progress,No,West Raleigh/Morrisville,Patti Head,Northern Area,Ann Hooker,Raleigh,RALEIGH,35,550,(34),540,8,690,26.6%,79.7%
E,Hodge Road Elementary,KI-5,Y-R,N/A,696,126,114,110,122,119,105,,,,,,,,373,323,3,13,301,235,109,35,0.4%,1.9%,43.2%,33.8%,15.7%,5.0%,417,59.9%,142,20.4%,177,25.4%,YES,55.1,High Growth,Priority School,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,36,696,(78),682,5,719,15.9%,96.8%
E,Holly Grove Elementary,KI-5,Y-R,N/A,986,200,181,166,142,143,154,,,,,,,,504,482,4,10,94,144,674,60,0.4%,1.0%,9.5%,14.6%,68.4%,6.1%,167,16.9%,28,2.8%,68,6.9%,NO,75.6,High Growth,School of Progress,No,Southern Wake,Ron Margiotta,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,46,986,32,963,0,995,0.0%,99.1%
E,Holly Ridge Elementary ,KI-5,T,N/A,777,115,124,123,135,139,141,,,,,,,,382,395,1,23,61,130,499,63,0.1%,3.0%,7.9%,16.7%,64.2%,8.1%,201,25.9%,21,2.7%,54,6.9%,NO,75.6,High Growth,School of Progress,No,Southern Wake,Ron Margiotta,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,36,777,14,563,8,761,24.1%,102.1%
E,Holly Springs Elementary,KI-5,Y-R,N/A,868,172,136,166,153,122,119,,,,,,,,427,441,5,31,26,112,652,42,0.6%,3.6%,3.0%,12.9%,75.1%,4.8%,120,13.8%,5,0.6%,28,3.2%,NO,81.4,High Growth,School of Distinction,Yes,Southern Wake,Ron Margiotta,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,36,868,38,733,16,1139,32.3%,76.2%
E,Hunter Elementary,KI-5,T,Gifted & Talented (AG Basics),817,118,131,148,125,141,154,,,,,,,,372,445,1,58,43,338,348,29,0.1%,7.1%,5.3%,41.4%,42.6%,3.5%,253,31.0%,24,2.9%,36,4.4%,NO,77.4,Expected Growth,School of Progress,No,East Raleigh,Rosa Gill,Central Area,Cathy Moore,Raleigh,RALEIGH,39,817,(41),546,6,643,21.4%,127.1%
E,Jeffreys Grove Elementary,KI-5,T,N/A,530,91,93,102,87,73,84,,,,,,,,253,277,1,6,58,171,270,24,0.2%,1.1%,10.9%,32.3%,50.9%,4.5%,188,35.5%,32,6.0%,38,7.2%,YES,70.4,High Growth,School of Progress,No,West Raleigh/Morrisville,Patti Head,Northern Area,Ann Hooker,Raleigh,RALEIGH,34,530,(29),517,3,557,12.3%,95.2%
E,Jones Dairy Elementary,KI-5,Y-R,N/A,787,123,128,130,122,140,144,,,,,,,,398,389,5,20,24,127,581,30,0.6%,2.5%,3.0%,16.1%,73.8%,3.8%,128,16.3%,10,1.3%,15,1.9%,NO,77.3,High Growth,School of Progress,No,Northeast Wake,Lori Millberg,North-Eastern Area,Andre Smith,Wake County,WAKE COUNTY,36,787,37,682,4,811,11.3%,97.0%
E,Joyner Elementary,KI-5,T,Center for Spanish Language/IB PYP,586,109,113,106,104,87,67,,,,,,,,294,292,,10,83,174,280,39,0.0%,1.7%,14.2%,29.7%,47.8%,6.7%,200,34.1%,22,3.8%,47,8.0%,YES,73.4,Expected Growth,School of Progress,No,Central Raleigh,Beverley Clark,Central Area,Cathy Moore,Raleigh,RALEIGH,31,586,14,408,8,606,30.3%,96.7%
E,Kingswood Elementary ,KI-5,T,N/A,352,56,73,60,62,54,47,,,,,,,,194,158,2,47,63,90,127,23,0.6%,13.4%,17.9%,25.6%,36.1%,6.5%,141,40.1%,54,15.3%,72,20.5%,YES,69.4,High Growth,School of Progress,No,Western Wake,Eleanor Goettee,Western Area,Kathy Chontos,Cary,CARY,27,352,14,356,0,370,0.0%,95.1%
E,Knightdale Elementary,KI-5,Y-R,N/A,662,123,112,127,106,114,80,,,,,,,,356,306,2,7,188,263,163,39,0.3%,1.1%,28.4%,39.7%,24.6%,5.9%,369,55.7%,116,17.5%,164,24.8%,YES,61.7,High Growth,School of Progress,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,40,662,(156),825,8,853,21.5%,77.6%
E,Lacy Elementary,KI-5,T,N/A,808,138,167,133,127,124,119,,,,,,,,429,379,2,69,46,97,578,16,0.2%,8.5%,5.7%,12.0%,71.5%,2.0%,194,24.0%,59,7.3%,79,9.8%,NO,84.8,High Growth,School of Distinction,Yes,Central Raleigh,Beverley Clark,Central Area,Cathy Moore,Raleigh,RALEIGH,32,808,(9),471,8,646,28.4%,125.1%
E,Laurel Park Elementary,KI-5,Y-R,N/A,604,139,103,125,101,86,50,,,,,,,,309,295,,87,69,53,349,46,0.0%,14.4%,11.4%,8.8%,57.8%,7.6%,112,18.5%,56,9.3%,86,14.2%,NO,,,,,Western Wake,Eleanor Goettee,South-Western Area,Julye Mizelle,Cary,CARY,46,604,0,770,0,770,0.0%,78.4%
E,Lead Mine Elementary,KI-5,Y-R,N/A,480,95,80,83,76,73,73,,,,,,,,255,225,1,12,47,170,216,34,0.2%,2.5%,9.8%,35.4%,45.0%,7.1%,209,43.5%,25,5.2%,44,9.2%,YES,73.4,High Growth,School of Progress,Yes,West Raleigh/Morrisville,Patti Head,Northern Area,Ann Hooker,Raleigh,RALEIGH,35,480,0,540,1,563,4.0%,85.3%
E,Leesville Road Elementary,KI-5,T,N/A,966,155,170,175,155,160,151,,,,,,,,467,499,3,58,62,162,640,41,0.3%,6.0%,6.4%,16.8%,66.3%,4.2%,170,17.6%,49,5.1%,78,8.1%,NO,83.5,High Growth,School of Distinction,Yes,West Raleigh/Morrisville,Patti Head,Northern Area,Ann Hooker,Raleigh,RALEIGH,35,966,37,710,16,1115,33.0%,86.6%
E,Lincoln Heights Elementary,KI-5,T,N/A,676,103,111,113,112,127,110,,,,,,,,345,331,1,5,75,174,377,44,0.1%,0.7%,11.1%,25.7%,55.8%,6.5%,217,32.1%,30,4.4%,52,7.7%,NO,69.6,Expected Growth,School of Progress,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,37,676,(18),486,15,738,36.5%,91.6%
E,Lockhart Elementary,KI-5,Y-R,N/A,702,121,100,137,112,108,124,,,,,,,,339,363,2,13,102,273,245,67,0.3%,1.9%,14.5%,38.9%,34.9%,9.5%,314,44.7%,50,7.1%,94,13.4%,YES,71,High Growth,School of Progress,Yes,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,37,702,(45),705,15,1005,34.3%,69.9%
E,Lynn Road Elementary,KI-5,T,N/A,646,137,122,105,98,101,83,,,,,,,,329,317,2,22,70,278,217,57,0.3%,3.4%,10.8%,43.0%,33.6%,8.8%,302,46.7%,34,5.3%,55,8.5%,YES,65.6,High Growth,School of Progress,No,Central Raleigh,Beverley Clark,Northern Area,Ann Hooker,Raleigh,RALEIGH,40,646,(41),655,0,614,0.0%,105.2%
E,Middle Creek Elementary,KI-5,Y-R,N/A,1030,193,168,169,172,168,160,,,,,,,,532,498,1,31,108,141,701,48,0.1%,3.0%,10.5%,13.7%,68.1%,4.7%,199,19.3%,32,3.1%,68,6.6%,NO,73.2,Expected Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,South-Western Area,Julye Mizelle,Cary,CARY,37,1030,2,756,16,1126,32.6%,91.5%
E,Millbrook Elementary,KI-5,T,IB Primary Years Programme,779,133,134,138,126,125,123,,,,,,,,412,367,1,20,182,372,138,66,0.1%,2.6%,23.4%,47.8%,17.7%,8.5%,433,55.6%,71,9.1%,173,22.2%,YES,62.6,High Growth,School of Progress,No,Central Raleigh,Beverley Clark,Northern Area,Ann Hooker,Raleigh,RALEIGH,46,779,(69),753,0,684,0.0%,113.9%
E,Mills Park Elementary,KI-5,Y-R,N/A,654,127,132,122,118,94,61,,,,,,,,311,343,1,149,30,57,375,42,0.2%,22.8%,4.6%,8.7%,57.3%,6.4%,60,9.2%,24,3.7%,60,9.2%,NO,,,,,Southern Wake,Ron Margiotta,Western Area,Kathy Chontos,Cary,CARY,51,654,0,862,0,862,0.0%,75.9%
E,Morrisville Elementary,KI-5,Y-R,N/A,744,132,141,134,133,103,101,,,,,,,,379,365,,129,72,75,418,50,0.0%,17.3%,9.7%,10.1%,56.2%,6.7%,102,13.7%,43,5.8%,97,13.0%,NO,89.5,High Growth,School of Distinction,Yes,West Raleigh/Morrisville,Patti Head,Western Area,Kathy Chontos,Morrisville,MORRISVILLE,35,744,24,659,5,798,14.4%,93.2%
E,North Forest Pines Elementary,KI-5,Y-R,N/A,742,133,144,117,114,122,112,,,,,,,,358,384,1,13,84,110,506,28,0.1%,1.8%,11.3%,14.8%,68.2%,3.8%,152,20.5%,50,6.7%,81,10.9%,NO,79.3,High Growth,School of Progress,No,North Raleigh,Kevin Hill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,40,742,42,728,0,770,0.0%,96.4%
E,North Ridge Elementary,KI-5,T,N/A,796,135,142,147,110,119,143,,,,,,,,401,395,2,21,159,158,429,27,0.3%,2.6%,20.0%,19.8%,53.9%,3.4%,281,35.3%,79,9.9%,150,18.8%,NO,78.5,High Growth,School of Progress,No,North Raleigh,Kevin Hill,Northern Area,Ann Hooker,Raleigh,RALEIGH,34,796,42,517,13,858,34.8%,92.8%
E,Northwoods Elementary,KI-5,T,N/A,570,96,96,104,82,88,104,,,,,,,,293,277,3,66,75,133,247,46,0.5%,11.6%,13.2%,23.3%,43.3%,8.1%,181,31.8%,99,17.4%,110,19.3%,NO,74.2,High Growth,School of Progress,No,Western Wake,Eleanor Goettee,Western Area,Kathy Chontos,Cary,CARY,34,570,5,517,3,591,11.6%,96.4%
E,Oak Grove Elementary,KI-5,Y-R,N/A,914,121,153,150,157,164,169,,,,,,,,472,442,5,56,75,93,654,31,0.5%,6.1%,8.2%,10.2%,71.6%,3.4%,131,14.3%,51,5.6%,66,7.2%,NO,87.9,Expected Growth,School of Distinction,Yes,Southern Wake,Ron Margiotta,South-Western Area,Julye Mizelle,Cary,CARY,35,914,24,659,5,798,14.4%,114.5%
E,Olds Elementary,KI-5,T,N/A,342,62,46,52,66,58,58,,,,,,,,186,156,,10,15,92,210,15,0.0%,2.9%,4.4%,26.9%,61.4%,4.4%,95,27.8%,3,0.9%,7,2.0%,NO,73.6,Expected Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,Central Area,Cathy Moore,Raleigh,RALEIGH,18,342,(55),323,0,268,0.0%,127.6%
E,Olive Chapel Elementary,KI-5,Y-R,N/A,1022,194,198,185,157,137,151,,,,,,,,531,491,1,56,62,52,804,47,0.1%,5.5%,6.1%,5.1%,78.7%,4.6%,95,9.3%,37,3.6%,67,6.6%,NO,86.6,High Growth,School of Distinction,Yes,Southern Wake,Ron Margiotta,South-Western Area,Julye Mizelle,Apex,APEX,36,1022,51,733,14,1106,29.1%,92.4%
