Code,Level,School Name,Calendar,Magnet Program,School Membership 2009-10,KI GRADE,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,MALE,FEMALE,American Indian,Asian,Hispanic or Latino,Black or African American,White,Multi-Racial,Percent American Indian,Percent Asian,Percent Hispanic or Latino,Percent Black or African American,Percent White,Percent Multi-Racial,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2008-09,"NC ABC Results Growth Recognition
 2008-09","NC ABC Results Performance Recognition
 2008-09",AYP Status,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location in Municipal Corporate Limits ,"Number Perma-
nent Learning Spaces","20th Day Actual Member-
ship","Special Needs Program Adjust-
ment",Existing School Building Capacity,Existing Mobiles,Annual School Campus Capacity [ASCC],Percent in Mobile Units,Percent Crowding Using Existing Mobiles
440,E,Green Elementary,Y-R,N/A,522,81,87,96,78,91,89,,,,,,,,282,240,,9,69,199,214,31,0.0%,1.7%,13.2%,38.1%,41.0%,5.9%,270,49.8%,35,6.7%,59,11.3%,YES,70.9%,Expected Growth,School of Progress,Yes,Central Raleigh,Carolyn Morrison,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,33,522,(38),613,4,667,13.7%,78.3%
439,E,Green Hope Elementary,Y-R,N/A,863,125,147,152,155,146,138,,,,,,,,419,444,2,208,57,98,464,34,0.2%,24.1%,6.6%,11.4%,53.8%,3.9%,108,12.4%,44,5.1%,88,10.2%,NO,85.2%,Expected Growth,School of Distinction,Yes,West Raleigh/Morrisville,Deborah Prickett,Western Wake County,Kathryn Chontos,Cary,CARY,38,863,42,728,9,977,21.1%,88.3%
451,E,Harris Creek Elementary,Y-R,N/A,848,147,156,142,155,129,119,,,,,,,,437,411,,27,118,267,368,68,0.0%,3.2%,13.9%,31.5%,43.4%,8.0%,277,32.6%,45,5.3%,107,12.6%,NO,76.1%,Expected Growth,School of Progress,Yes,Northeast Wake,Chris Malone,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,48,848,76,1009,4,1177,7.8%,72.0%
306,E,Herbert Akins Road Elementary,Y-R,N/A,626,137,123,119,92,81,74,,,,,,,,304,322,1,10,72,113,379,51,0.2%,1.6%,11.5%,18.1%,60.5%,8.1%,187,28.9%,21,3.4%,48,7.7%,,N/A,N/A,N/A,N/A,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,51,626,0,862,0,862,0.0%,72.6%
454,E,Heritage Elementary,Y-R,N/A,845,129,144,166,143,121,142,,,,,,,,435,410,3,20,37,147,603,35,0.4%,2.4%,4.4%,17.4%,71.4%,4.1%,155,18.1%,17,2.0%,29,3.4%,NO,84.3%,High Growth,School of Distinction,Yes,Northeast Wake,Chris Malone,NorthEastern Wake County,Andre Smith,Wake Forest,WAKE FOREST,37,845,55,705,7,921,17.4%,91.7%
443,E,Highcroft Drive Elementary,Y-R,N/A,748,122,128,130,137,117,114,,,,,,,,417,331,,95,21,57,536,39,0.0%,12.7%,2.8%,7.6%,71.7%,5.2%,78,10.2%,19,2.5%,41,5.5%,NO,91.5%,High Growth,Honor Schools of Excellence,Yes,Southern Wake,Ron Margiotta,Western Wake County,Kathryn Chontos,Cary,CARY,38,748,81,779,9,1067,19.4%,70.1%
442,E,Hilburn Drive Elementary,T,N/A,504,69,98,84,85,92,76,,,,,,,,248,256,1,34,80,186,176,27,0.2%,6.7%,15.9%,36.9%,34.9%,5.4%,225,44.7%,41,8.1%,71,14.1%,YES,66.6%,Not Met Expected Growth,No Recognition,No,West Raleigh/Morrisville,Deborah Prickett,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,35,504,(34),540,8,690,26.6%,73.0%
446,E,Hodge Road Elementary,Y-R,N/A,759,112,154,121,136,124,112,,,,,,,,388,371,3,14,347,260,94,41,0.4%,1.8%,45.7%,34.3%,12.4%,5.4%,487,65.2%,191,25.2%,273,36.0%,YES,57.3%,Expected Growth,Priority School,No,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Knightdale,KNIGHTDALE,36,759,(124),682,5,673,17.0%,112.8%
457,E,Holly Grove Elementary,Y-R,N/A,772,124,143,131,135,117,122,,,,,,,,393,379,2,12,42,83,577,56,0.3%,1.6%,5.4%,10.8%,74.7%,7.3%,109,14.0%,13,1.7%,29,3.8%,NO,82.1%,Expected Growth,School of Distinction,No,Southern Wake,Ron Margiotta,Southern Wake County,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,46,772,32,963,0,995,0.0%,77.6%
449,E,Holly Ridge Elementary ,T,N/A,704,95,100,110,125,134,140,,,,,,,,342,362,,20,57,120,459,48,0.0%,2.8%,8.1%,17.0%,65.2%,6.8%,188,26.8%,14,2.0%,46,6.5%,NO,83.2%,High Growth,School of Distinction,Yes,Southern Wake,Ron Margiotta,Southern Wake County,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,36,704,14,563,8,761,24.1%,92.5%
447,E,Holly Springs Elementary,Y-R,N/A,1070,214,184,179,186,172,135,,,,,,,,534,536,4,29,52,126,797,62,0.4%,2.7%,4.9%,11.8%,74.5%,5.8%,186,17.4%,22,2.1%,52,4.9%,NO,83.2%,Expected Growth,School of Distinction,Yes,Southern Wake,Ron Margiotta,Southern Wake County,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,36,1070,38,733,16,1139,32.3%,93.9%
448,E,Hunter Elementary,T,Gifted & Talented (AG Basics),828,109,129,138,163,143,146,,,,,,,,387,441,3,61,54,376,308,26,0.4%,7.4%,6.5%,45.4%,37.2%,3.1%,306,37.0%,33,4.0%,53,6.4%,YES,77.6%,High Growth,School of Progress,Yes,East Raleigh,Keith Sutton,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,39,828,(87),546,6,597,23.1%,138.7%
452,E,Jeffreys Grove Elementary,T,N/A,462,59,85,79,91,80,68,,,,,,,,224,238,1,8,47,142,242,22,0.2%,1.7%,10.2%,30.7%,52.4%,4.8%,156,33.3%,24,5.2%,29,6.3%,NO,73.4%,High Growth,School of Progress,No,West Raleigh/Morrisville,Deborah Prickett,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,32,462,40,471,3,580,11.8%,79.7%
453,E,Jones Dairy Elementary,Y-R,N/A,801,132,129,128,142,127,143,,,,,,,,399,402,6,18,31,117,595,34,0.7%,2.2%,3.9%,14.6%,74.3%,4.2%,181,22.4%,7,0.9%,15,1.9%,NO,84.2%,High Growth,School of Distinction,Yes,Northeast Wake,Chris Malone,NorthEastern Wake County,Andre Smith,Wake County,WAKE COUNTY,36,801,37,682,4,811,11.3%,98.8%
456,E,Joyner Elementary,T,Center for Spanish Language/IB PYP,590,117,99,114,102,82,76,,,,,,,,312,278,,16,59,148,322,45,0.0%,2.7%,10.0%,25.1%,54.6%,7.6%,167,28.4%,23,3.9%,47,8.0%,NO,73.1%,High Growth,School of Progress,Yes,Central Raleigh,Carolyn Morrison,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,31,590,37,408,8,629,29.2%,93.8%
460,E,Kingswood Elementary ,T,N/A,341,41,59,68,58,59,56,,,,,,,,193,148,2,41,72,92,109,25,0.6%,12.0%,21.1%,27.0%,32.0%,7.3%,152,44.2%,50,14.7%,70,20.5%,YES,75.9%,Expected Growth,School of Progress,Yes,Western Wake,Debra Goldman,Western Wake County,Kathryn Chontos,Cary,CARY,27,341,(9),356,0,347,0.0%,98.3%
464,E,Knightdale Elementary,T,N/A,528,77,86,88,96,78,103,,,,,,,,277,251,,12,124,249,119,24,0.0%,2.3%,23.5%,47.2%,22.5%,4.5%,309,58.9%,84,15.9%,104,19.7%,YES,69.1%,High Growth,School of Progress,Yes,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Knightdale,KNIGHTDALE,40,528,(244),655,8,595,30.9%,88.7%
468,E,Lacy Elementary,T,N/A,831,119,144,169,134,130,135,,,,,,,,426,405,2,64,56,138,555,16,0.2%,7.7%,6.7%,16.6%,66.8%,1.9%,253,30.5%,89,10.7%,112,13.5%,NO,84.8%,High Growth,School of Distinction,No,Central Raleigh,Carolyn Morrison,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,40,831,63,655,0,718,0.0%,115.7%
474,E,Lake Myra Elementary,Y-R,N/A,473,77,93,75,93,74,61,,,,,,,,260,213,3,5,111,182,140,32,0.6%,1.1%,23.5%,38.5%,29.6%,6.8%,236,47.7%,45,9.5%,84,17.8%,YES,N/A,N/A,N/A,N/A,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Wendell,WENDELL,51,473,0,862,0,862,0.0%,54.9%
467,E,Laurel Park Elementary,Y-R,N/A,933,173,171,152,178,136,123,,,,,,,,468,465,1,118,105,79,555,75,0.1%,12.6%,11.3%,8.5%,59.5%,8.0%,160,17.2%,46,4.9%,91,9.8%,NO,83.5%,High Growth,School of Distinction,Yes,Western Wake,Debra Goldman,SouthWestern Wake County,Julye Mizelle,Cary,CARY,46,933,0,963,0,963,0.0%,96.9%
470,E,Lead Mine Elementary,T,N/A,483,79,77,77,76,90,84,,,,,,,,245,238,2,12,59,166,213,31,0.4%,2.5%,12.2%,34.4%,44.1%,6.4%,194,40.6%,28,5.8%,53,11.0%,YES,85.2%,High Growth,School of Distinction,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,35,483,0,540,1,563,4.0%,85.8%
469,E,Leesville Road Elementary,Y-R,N/A,1057,171,176,181,183,172,174,,,,,,,,520,537,4,64,71,208,673,37,0.4%,6.1%,6.7%,19.7%,63.7%,3.5%,222,20.7%,50,4.7%,78,7.4%,NO,84.5%,High Growth,School of Distinction,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,35,1057,37,710,16,1115,33.0%,94.8%
476,E,Lincoln Heights Elementary,T,N/A,557,63,97,92,103,89,113,,,,,,,,276,281,2,8,76,152,276,43,0.4%,1.4%,13.6%,27.3%,49.6%,7.7%,200,36.0%,29,5.2%,49,8.8%,YES,70.0%,Not Met Expected Growth,No Recognition,No,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,37,557,(66),559,15,778,36.6%,71.6%
480,E,Lockhart Elementary,Y-R,N/A,728,115,131,110,137,108,127,,,,,,,,366,362,2,7,144,255,261,59,0.3%,1.0%,19.8%,35.0%,35.9%,8.1%,392,52.5%,86,11.8%,111,15.2%,YES,78.2%,Expected Growth,School of Progress,Yes,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Knightdale,KNIGHTDALE,37,728,(45),705,13,959,31.1%,75.9%
488,E,Lynn Road Elementary,T,N/A,622,109,119,108,104,96,86,,,,,,,,318,304,2,13,63,269,223,52,0.3%,2.1%,10.1%,43.2%,35.9%,8.4%,313,50.5%,25,4.0%,42,6.8%,YES,64.2%,Expected Growth,School of Progress,Yes,Central Raleigh,Carolyn Morrison,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,40,622,(18),655,0,637,0.0%,97.6%
494,E,Middle Creek Elementary,Y-R,N/A,948,161,175,149,145,159,159,,,,,,,,484,464,2,29,99,112,666,40,0.2%,3.1%,10.4%,11.8%,70.3%,4.2%,191,19.7%,25,2.6%,40,4.2%,NO,79.2%,Expected Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,SouthWestern Wake County,Julye Mizelle,Cary,CARY,37,948,2,756,16,1126,32.6%,84.2%
496,E,Millbrook Elementary,T,International Baccalaureate,771,131,140,137,128,121,114,,,,,,,,397,374,,20,197,347,142,65,0.0%,2.6%,25.6%,45.0%,18.4%,8.4%,465,60.7%,63,8.2%,165,21.4%,YES,70.0%,High Growth,School of Progress,Yes,Central Raleigh,Carolyn Morrison,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,46,771,(92),753,0,661,0.0%,116.6%
501,E,Mills Park Elementary,Y-R,N/A,781,125,139,145,133,134,105,,,,,,,,370,411,1,198,44,69,424,45,0.1%,25.4%,5.6%,8.8%,54.3%,5.8%,76,9.5%,31,4.0%,70,9.0%,NO,92.8%,High Growth,Honor Schools of Excellence,Yes,Southern Wake,Ron Margiotta,Western Wake County,Kathryn Chontos,Cary,CARY,51,781,0,1078,0,1078,0.0%,72.4%
504,E,Morrisville Elementary,Y-R,N/A,807,145,140,138,142,126,116,,,,,,,,417,390,2,150,85,76,444,50,0.2%,18.6%,10.5%,9.4%,55.0%,6.2%,142,17.1%,56,6.9%,85,10.5%,NO,92.3%,High Growth,Honor Schools of Excellence,Yes,West Raleigh/Morrisville,Deborah Prickett,Western Wake County,Kathryn Chontos,Morrisville,MORRISVILLE,35,807,24,659,5,798,14.4%,101.1%
514,E,North Forest Pines Elementary,Y-R,N/A,818,130,138,147,136,126,141,,,,,,,,425,393,1,18,100,132,533,34,0.1%,2.2%,12.2%,16.1%,65.2%,4.2%,221,27.0%,70,8.6%,88,10.8%,NO,83.8%,High Growth,School of Distinction,Yes,North Raleigh,Kevin Hill,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,40,818,28,774,0,802,0.0%,102.0%
516,E,North Ridge Elementary,T,N/A,779,125,137,149,135,120,113,,,,,,,,394,385,,27,159,160,399,34,0.0%,3.5%,20.4%,20.5%,51.2%,4.4%,316,40.9%,75,9.6%,129,16.6%,YES,80.5%,High Growth,School of Distinction,No,North Raleigh,Kevin Hill,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,34,779,(73),517,13,743,40.2%,104.8%
