"
School 2003-04"	"Mobile
Units"	Annual Campus Capacity	20th day Enrollment	Annual Campus Percent Crowding	Percent of ESL* Students	Percent of F&R* Students	"Percent 2-YR
AVG., Level 1, 2 Performance (2002-03)"	"High School
Percent
Level 1,2 
Performance (2002-03)"
Leesville Road Elementary	7	732	770	105%	NA	15.2%	4.0%	
Leesville Road High	0	2270	2085	92%	NA	10.1%	NA	3.9%
Leesville Road Middle	10	1068	1086	102%	NA	17.7%	8.0%	
Ligon Middle 	9	1142	1015	89%	NA	14.0%	5.6%	
Lincoln Heights Elem	8	580	596	103%	NA	26.2%	10.0%	
Lockhart Elementary	10	677	775	114%	21.7%	43.4%	4.5%	
Longview	7	305	93	30%	NA	56.4%	44.6%	30.4%
Lufkin Road Middle	0	1234	975	79%	6.4%	10.0%	3.4%	
Lynn Road Elementary	0	438	528	121%	3.8%	36.9%	16.6%	
Martin Middle	7	1111	1006	91%	NA	22.0%	10.6%	
Middle Creek Elementary	0	668	727	109%	5.0%	23.9%	8.2%	
Middle Creek High 	0	1750	1220	70%	NA	16.2%	NA	8.5%
Millbrook  High 	22	2071	2040	99%	5.5%	18.5%	NA	6.7%
Millbrook Elementary 	0	529	640	121%	NA	48.5%	18.9%	
Moore Squ Museum Mid	0	658	492	75%	NA	32.7%	12.8%	
Morrisville Elementary	5	818	949	116%	8.0%	8.2%	3.3%	
Mount Vernon School	1	154	59	38%	NA	65.2%	28.5%	
North Garner Middle	5	918	877	96%	6.8%	44.0%	21.5%	
North Ridge Elementary	7	599	701	117%	11.0%	30.1%	4.8%	
Northwoods Elementary	7	677	771	114%	12.1%	19.6%	4.5%	
Oak Grove Elementary	5	823	915	111%	5.4%	10.0%	3.0%	
Olds Elementary	0	252	319	127%	NA	24.4%	9.5%	
Olive Chapel Elementary	14	907	959	106%	3.6%	6.5%	4.1%	
Partnership Primary	0	288	317	110%	NA	15.7%	14.6%	
Penny Road Elementary	4	654	654	100%	6.1%	23.8%	9.0%	
Phillips High	0	226	217	96%	NA	43.8%	NA	26.5%
Pleasant Union Elementary	0	590	577	98%	NA	12.7%	4.5%	
Poe Elementary	0	309	441	143%	6.3%	35.9%	11.2%	
Powell Elementary	3	520	447	86%	NA	43.8%	14.8%	
Rand Road Elementary	0	516	542	105%	7.0%	34.2%	14.9%	
Reedy Creek Elementary	5	700	728	104%	11.8%	34.8%	15.0%	
Reedy Creek Middle	0	903	921	102%	6.7%	32.9%	13.8%	
Rolesville Elementary	9	668	755	113%	13.6%	36.0%	11.4%	
Root Elementary	5	436	465	107%	NA	26.2%	10.1%	
Salem Elementary	3	723	756	105%	5.3%	14.5%	5.4%	
Sanderson High	0	1678	1770	105%	5.1%	21.2%	NA	5.2%
Smith Elementary	0	392	506	129%	15.2%	61.7%	19.1%	
Southeast Raleigh High	12	1987	2088	105%	NA	17.3%	NA	7.3%
Stough Elementary	6	521	675	130%	21.0%	37.1%	7.7%	
Swift Creek Elementary	2	530	406	77%	NA	36.4%	9.8%	
Timber Drive Elementary	7	910	939	103%	8.1%	23.0%	6.6%	
Underwood Elementary	0	441	315	71%	NA	32.9%	19.4%	
Vance Elementary	3	447	435	97%	11.3%	35.6%	11.3%	
Vandora Springs Elementary	1	516	467	91%	13.1%	49.1%	14.7%	
Wake Forest Elem. @ Jones Dairy	11	833	972	117%	NA	31.7%	12.6%	
Wake Forest-Rolesville High	0	1567	1507	96%	NA	15.0%	NA	6.6%
Wake Forest-Rolesville Middle	11	1137	1168	103%	NA	30.2%	14.5%	
Wakefield Elementary	12	884	908	103%	6.7%	17.1%	6.3%	
Wakefield High	7	1831	1818	99%	3.6%	11.8%	NA	5.0%
Wakefield Middle	3	1064	1061	100%	NA	11.2%	7.6%	
Washington Elementary	0	635	593	93%	NA	27.8%	8.7%	
Weatherstone Elementary	13	861	837	97%	10.2%	19.3%	4.7%	
Wendell Elementary	2	451	613	136%	3.6%	47.5%	9.7%	
West Cary Middle	6	1044	1043	100%	3.2%	12.7%	6.1%	
West Lake Elementary	14	1016	1168	115%	6.2%	16.6%	8.0%	
West Lake Middle	12	1520	1412	93%	2.1%	13.8%	5.0%	
West Millbrook Middle	6	1083	1039	96%	7.0%	30.0%	8.7%	
Wilburn Elementary	13	864	1023	118%	9.9%	52.2%	9.1%	
Wildwood Forest Elementary	9	824	849	103%	NA	29.7%	10.8%	
Wiley Elementary	0	336	385	115%	17.1%	33.0%	9.2%	
Willow Springs Elementary	6	668	718	107%	8.9%	32.9%	9.5%	
Yates Mill Elementary	0	631	470	74%	8.1%	34.5%	12.6%	
York Elementary	4	539	618	115%	13.6%	31.0%	12.9%	
Zebulon Elementary	10	625	713	114%	NA	55.7%	16.1%	
Zebulon Middle 	6	998	1003	101%	NA	41.4%	15.3%	
