CODE	SCHOOL NAME	CALENDAR	PROGRAM MODEL NAME	GRADE	LEVEL	TYPE	SCHOOL ENROLL 2006-07	KI	1st GRADE	2nd GRADE	3rd GRADE	4th GRADE	5th GRADE	6th GRADE	7th GRADE	8th GRADE	9th GRADE	10th GRADE	11th GRADE	12th GRADE	Male	Female	Percent American Indian	Percent Asian	Percent Hispanic or Latino	Percent Black or African American	Percent White	Percent Multi - Racial	Level 1- 2 Performance	AVG 2-YR Level 1- 2 Performance	HS Level 1-2 Performance	Percent F&R	Percent ESL	Percent LEP	TITLE 1 PROGRAM	School Building Capacity	Special Need Programs Adjustment 	Optimum Mobile Units	Long-Range School Capacity	Actual Mobiles	Annual School Campus Capacity 2006	20th Day Actual Membership	Percent in Permanent Seats	Percent Crowding	SCHOOL BOARD DISTRICT	SCHOOL BOARD MEMBER	AREA SUPERINTENDENT DISTRICT	AREA SUPERINTENDENT NAME	Extra Teritorial Jurisdiction (ETJ)
328	Baucom Elementary	Traditional	Standard	KI-5	E	T	904	172	154	133	143	159	143								478	426	0.0%	11.7%	8.4%	8.6%	65.8%	5.4%	4.5%	3.8%		15.0%	5.1%	9.5%	NO	632	0	7	793	9	839	904	69.9%	107.7%	District 8 (South Wake)	Ron Margiotta	South Central Wake County	Julye Mizelle	Apex
329	Barwell Elementary	Year-Round	Larger Year Round	KI-5	E	Y-R	744	131	140	135	127	115	96								376	368	0.1%	0.5%	22.0%	61.3%	11.8%	4.2%				59.3%	12.4%	13.3%	YES	1002	0	0	1002	0	1002	744	134.7%	74.3%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Raleigh
334	Brassfield Elementary	Traditional	Standard	KI-5	E	T	687	109	117	110	120	132	99								360	327	0.1%	2.0%	10.9%	6.4%	77.6%	2.9%	3.0%	2.7%		11.8%	7.6%	8.9%	NO	540	0	0	540	5	655	687	78.6%	104.9%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Wake County
336	Brentwood Elementary	Traditional	Standard	KI-5	E	T	526	93	93	90	93	83	74								278	248	0.0%	2.7%	37.6%	45.6%	10.5%	3.6%	27.5%	24.0%		66.7%	29.3%	33.5%	YES	471	-170	2	347	5	416	526	57.2%	126.4%	District 6 (Central Raleigh)	Beverley Clark	Central Wake County	Jonibel Willis	Raleigh
340	Briarcliff Elementary	Traditional	Standard	KI-5	E	T	517	117	98	81	76	75	70								275	242	0.8%	2.1%	27.1%	18.2%	46.8%	5.0%	11.2%	11.1%		46.2%	6.4%	14.5%	YES	540	83	0	623	0	623	517	120.5%	83.0%	District 9 (Western Wake)	Eleanor Goettee	Western Wake County	Kathryn Chontos	Cary
342	Brier Creek Elementary 	Year-Round	Larger Standard	KI-5	E	Y-R	502	126	98	79	77	68	54								217	285	0.4%	11.6%	3.0%	13.9%	66.7%	4.4%				9.4%	0.0%	2.6%	NO	722	0	0	722	0	722	502	143.8%	69.5%	District 7 (West Raleigh)	Patti Head	Western Wake County	Kathryn Chontos	Raleigh
344	Brooks Elementary	Magnet	Museums Magnet	KI-5	E	M	523	104	90	90	90	86	63								270	253	0.4%	2.9%	5.7%	29.3%	56.8%	5.0%	9.5%	11.3%		24.9%	0.0%	2.5%	YES	454	35	0	489	1	512	523	93.5%	102.1%	District 6 (Central Raleigh)	Beverley Clark	Central Wake County	Jonibel Willis	Raleigh
348	Broughton High	Magnet	International Baccalaureate Magnet	.9-12	H	M	2180										704	506	475	495	1111	1069	0.2%	4.2%	5.2%	27.8%	60.5%	2.2%			3.8%	20.4%	3.9%	4.9%	NO	1799	-6	0	1793	12	2081	2180	82.2%	104.8%	District 5 (South Central Raleigh)	Susan Parry	Central Wake County	Jonibel Willis	Raleigh
352	Bugg Elementary	Magnet	Creative Arts & Sciences Magnet	KI-5	E	M	458	71	75	82	73	81	76								225	233	0.0%	0.9%	9.0%	67.2%	20.1%	2.8%	6.8%	7.5%		44.1%	5.0%	6.6%	YES	297	-11	0	286	4	378	458	62.4%	121.2%	District 4 (East Raleigh)	Rosa Gill	South Central Wake County	Julye Mizelle	Raleigh
356	Carnage Middle	Magnet	G/T Magnet	.6-8	M	M	1123							359	375	389					595	528	0.0%	7.4%	10.8%	51.9%	26.8%	3.1%	12.8%	12.5%		39.9%	3.6%	6.8%	NO	877	-36	4	945	7	1023	1123	74.9%	109.8%	District 4 (East Raleigh)	Rosa Gill	South Central Wake County	Julye Mizelle	Raleigh
358	Carpenter Elementary	Year-Round	Standard Y/R	KI-5	E	Y-R	511	114	115	76	71	72	63								250	261	0.4%	18.8%	17.8%	4.9%	53.0%	5.1%				17.8%	10.8%	19.8%	NO	722	0	0	722	0	722	511	141.3%	70.8%	District 7 (West Raleigh)	Patti Head	Western Wake County	Kathryn Chontos	Cary
360	Carroll Middle	Traditional	Standard	.6-8	M	T	651							230	231	190					319	332	0.2%	3.2%	17.2%	35.3%	37.6%	6.5%	14.6%	12.4%		43.8%	7.7%	10.6%	NO	409	-35	4	478	16	790	651	57.5%	82.4%	District 6 (Central Raleigh)	Beverley Clark	Northern Wake County	Ann Hooker	Raleigh
362	Carver Elementary	Modified	Standard	KI-5	E	T	581	114	95	91	98	95	88								290	291	0.0%	0.2%	28.9%	31.2%	35.8%	4.0%	9.8%	13.5%		64.9%	13.8%	21.3%	YES	632	-207	0	425	11	678	581	73.1%	85.7%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Wendell
364	Cary Elementary	Traditional	Standard	KI-5	E	T	634	127	107	104	93	94	109								321	313	0.5%	3.3%	15.3%	20.0%	54.6%	6.3%	6.5%	6.0%		38.2%	12.8%	14.7%	YES	563	-69	0	494	0	494	634	77.9%	128.3%	District 9 (Western Wake)	Eleanor Goettee	Western Wake County	Kathryn Chontos	Cary
368	Cary High	Traditional	Standard	.9-12	H	T	2095										472	489	570	564	1067	1028	0.1%	7.3%	9.7%	16.4%	62.9%	3.6%			4.4%	17.5%	4.7%	6.7%	NO	2287	-69	0	2218	10	2458	2095	105.9%	85.2%	District 9 (Western Wake)	Eleanor Goettee	Western Wake County	Kathryn Chontos	Cary
369	Cedar Fork Elementary	Traditional	Standard	KI-5	E	T	594	112	115	103	99	86	79								310	284	0.8%	31.1%	6.1%	14.6%	41.8%	5.6%	4.3%	4.3%		14.8%	9.1%	24.4%	NO	563	46	0	609	6	747	594	102.5%	79.5%	District 7 (West Raleigh)	Patti Head	Western Wake County	Kathryn Chontos	Morrisville
370	Centennial Campus Middle	Magnet (Modified)	University Magnet	.6-8	M	M	581							204	203	174					293	288	0.2%	2.4%	5.0%	33.2%	54.9%	4.3%	7.8%	10.1%		31.0%	0.0%	1.9%	NO	651	-79	0	572	0	572	581	98.5%	101.6%	District 5 (South Central Raleigh)	Susan Parry	South Central Wake County	Julye Mizelle	Raleigh
376	Combs Elementary	Magnet	Leadership Magnet	KI-5	E	M	794	150	138	139	132	122	113								392	402	0.0%	9.9%	14.9%	21.5%	48.9%	4.8%	6.7%	6.4%		37.0%	11.6%	17.3%	YES	523	-103	0	420	13	719	794	52.9%	110.4%	District 5 (South Central Raleigh)	Susan Parry	South Central Wake County	Julye Mizelle	Raleigh
380	Conn Elementary	Magnet	GT/Global/Int'l Magnet	KI-5	E	M	549	115	104	86	89	69	86								280	269	0.2%	0.4%	3.6%	59.9%	31.7%	4.2%	8.6%	11.9%		45.2%	0.0%	1.6%	YES	427	-29	0	398	2	438	549	72.5%	125.3%	District 4 (East Raleigh)	Rosa Gill	Central Wake County	Jonibel Willis	Raleigh
384	Creech Road Elementary	Traditional	Standard	KI-5	E	T	523	83	107	78	91	80	84								249	274	0.4%	1.0%	18.5%	48.6%	25.8%	5.7%	9.9%	11.0%		61.8%	11.9%	14.3%	YES	632	-83	3	618	5	664	523	105.0%	78.8%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Garner
388	Daniels Middle	Magnet	International Baccalaureate	.6-8	M	M	1006							337	306	363					531	475	0.4%	5.1%	7.3%	25.1%	59.3%	2.8%	14.7%	13.0%		26.7%	4.8%	7.8%	NO	1033	-62	0	971	11	1257	1006	96.5%	80.0%	District 6 (Central Raleigh)	Beverley Clark	Central Wake County	Jonibel Willis	Raleigh
390	Davis Drive Elementary	Traditional	Standard	KI-5	E	T	971	136	153	175	158	177	172								490	481	0.2%	24.6%	3.7%	3.7%	63.9%	3.9%	1.5%	1.4%		6.4%	10.1%	13.2%	NO	609	14	0	623	13	922	971	64.2%	105.3%	District 8 (South Wake)	Ron Margiotta	Western Wake County	Kathryn Chontos	Cary
391	Davis Drive Middle	Traditional	Standard	.6-8	M	T	1096							338	379	379					565	531	0.2%	16.2%	6.7%	8.9%	65.1%	2.9%	3.5%	3.8%		13.4%	4.5%	6.0%	NO	877	16	6	1049	8	1101	1096	81.5%	99.5%	District 8 (South Wake)	Ron Margiotta	Western Wake County	Kathryn Chontos	Cary
393	Dillard Drive Elementary	Traditional	Standard	KI-5	E	T	691	134	131	106	112	110	98								356	335	0.6%	4.5%	11.3%	32.3%	44.9%	6.5%	8.5%	7.4%		38.9%	0.0%	9.4%	YES	563	-43	2	566	2	566	691	75.3%	122.1%	District 5 (South Central Raleigh)	Susan Parry	South Central Wake County	Julye Mizelle	Raleigh
394	Dillard Drive Middle	Traditional	Standard	.6-8	M	T	1004							314	316	374					533	471	0.2%	3.7%	10.9%	26.5%	55.3%	3.5%	5.1%	5.9%		35.5%	5.2%	8.0%	NO	1033	-105	0	928	0	928	1004	92.4%	108.2%	District 5 (South Central Raleigh)	Susan Parry	South Central Wake County	Julye Mizelle	Raleigh
396	Douglas Elementary	Magnet	Creative Arts & Sciences Magnet	KI-5	E	M	476	95	97	73	79	59	73								253	223	0.4%	2.7%	12.4%	25.6%	55.3%	3.6%	8.3%	10.3%		30.0%	8.6%	11.3%	YES	412	-11	0	401	10	631	476	84.2%	75.4%	District 6 (Central Raleigh)	Beverley Clark	Central Wake County	Jonibel Willis	Raleigh
398	Durant Road Elementary	Year-Round	Standard Y/R	KI-5	E	Y-R	999	159	175	158	152	183	172								521	478	0.5%	3.2%	16.7%	25.0%	50.7%	3.9%	12.3%	10.7%		31.3%	11.6%	15.6%	YES	676	-163	8	697	18	927	999	51.4%	107.8%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Raleigh
399	Durant Road Middle	Year-Round	Standard Y-R	.6-8	M	Y-R	1129							356	391	382					583	546	0.0%	3.5%	12.1%	29.2%	50.3%	4.8%	7.2%	7.7%		31.1%	4.6%	7.4%	NO	1345	-201	1	1170	11	1430	1129	101.3%	79.0%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Raleigh
400	Reedy Creek Middle	Traditional	Standard	.6-8	M	T	796							253	264	279					406	390	0.4%	4.9%	19.2%	22.5%	47.7%	5.3%	10.8%	11.3%		41.0%	6.7%	14.4%	NO	903	-27	3	954	0	876	796	110.1%	90.9%	District 6 (Central Raleigh)	Beverley Clark	Western Wake County	Kathryn Chontos	Cary
404	East Garner Middle	Magnet	International Baccalaureate 	.6-8	M	M	1044							341	353	350					526	518	0.4%	0.3%	15.4%	56.6%	23.3%	4.0%	12.6%	14.8%		50.7%	3.4%	8.2%	NO	851	-88	0	763	5	893	1044	73.1%	116.9%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Garner
408	East Millbrook Middle	Magnet	International Bacc. & Integrated Arts	.6-8	M	M	1064							328	383	353					520	544	0.1%	3.9%	12.2%	53.5%	25.3%	5.1%	12.6%	13.2%		42.4%	0.0%	4.3%	NO	591	-10	1	607	27	1283	1064	54.6%	82.9%	District 3 (North Raleigh)	Carol Parker	Central Wake County	Jonibel Willis	Raleigh
410	East Wake Middle	Traditional	Standard	.6-8	M	T	949							340	306	303					486	463	0.6%	1.9%	19.3%	42.5%	31.4%	4.3%	11.9%	14.2%		52.7%	5.4%	11.6%	NO	825	-114	0	711	5	841	949	74.9%	112.8%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Wake County
411	East Wake High	Traditional	Standard	.9-12	H	T	881										294	187	174	226	504	377	0.1%	0.8%	9.8%	45.3%	42.3%	1.7%			10.8%	39.6%	2.5%	4.0%	NO	1711	-45	0	1666	7	1834	1498	111.2%	81.7%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Wake County
412	Enloe High	Magnet	G/T Magnet	.9-12	H	M	2495										769	659	575	492	1152	1343	0.1%	12.5%	2.5%	33.7%	48.3%	2.9%			3.2%	18.8%	0.0%	0.7%	NO	1734	12	12	2034	22	2274	2495	70.0%	109.7%	District 4 (East Raleigh)	Rosa Gill	Central Wake County	Jonibel Willis	Raleigh
413	Forestville Road Elementary	Traditional	Standard	KI-5	E	T	566	113	89	102	93	73	96								246	320	0.4%	2.1%	19.3%	32.5%	39.6%	6.2%	12.5%	13.1%		48.2%	8.5%	14.0%	YES	609	0	0	609	6	747	566	107.6%	75.8%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Knightdale
414	Farmington Woods Elementary	Magnet	International Baccalaureate 	KI-5	E	M	830	141	153	142	133	127	134								406	424	0.2%	6.1%	12.8%	19.3%	55.5%	6.0%	3.5%	4.8%		29.2%	8.4%	11.7%	NO	523	49	4	664	7	733	830	68.9%	113.2%	District 9 (Western Wake)	Eleanor Goettee	Western Wake County	Kathryn Chontos	Cary
415	Fox Road Elementary	Traditional	Standard	KI-5	E	T	800	146	143	124	125	130	132								408	392	0.3%	6.5%	18.5%	49.9%	17.8%	7.1%	9.0%	13.4%		53.8%	11.1%	21.1%	YES	540	-92	8	632	23	977	800	56.0%	81.9%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Raleigh
416	Fuller Elementary	Magnet	GT/Global/Int'l Magnet	KI-5	E	M	586	90	91	89	86	104	126								298	288	0.3%	32.4%	1.7%	41.8%	18.6%	5.1%	4.9%	9.2%		32.9%	0.0%	2.7%	YES	339	0	2	385	8	523	586	57.8%	112.0%	District 4 (East Raleigh)	Rosa Gill	South Central Wake County	Julye Mizelle	Raleigh
417	Forest Pines Elementary	Traditional	Modular	KI-5	E	T	524	112	112	88	85	65	62								246	278	0.0%	2.9%	11.5%	20.2%	60.9%	4.6%	15.2%	15.2%		29.8%	5.7%	7.4%	NO	0	0	0	0	32	471	524	0.0%	111.3%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Raleigh
420	Fuquay-Varina Elementary	Traditional	Standard	KI-5	E	T	876	160	170	144	169	123	110								432	444	0.7%	1.0%	15.2%	21.1%	56.8%	5.1%	12.2%	11.6%		35.4%	7.2%	10.7%	YES	540	-66	5	589	18	888	876	54.1%	98.6%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Fuquay-Varina
424	Fuquay Varina Middle 	Traditional	Standard	.6-8	M	T	989							320	348	321					517	472	0.5%	0.9%	10.4%	20.5%	64.6%	3.0%	10.4%	11.0%		29.8%	0.0%	2.7%	NO	903	-27	0	876	0	876	989	88.6%	112.9%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Fuquay-Varina
428	Fuquay-Varina High 	Traditional	Standard	.9-12	H	T	1730										491	447	445	347	869	861	0.2%	0.8%	5.8%	20.2%	70.8%	2.2%			5.5%	18.6%	0.0%	1.6%	NO	1639	0	0	1639	2	1687	1730	94.7%	102.5%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Fuquay-Varina
436	Garner High 	Magnet	International Baccalaureate Magnet	.9-12	H	M	2108										635	597	496	380	1086	1022	0.3%	0.5%	11.1%	46.0%	40.5%	1.7%			9.1%	32.6%	3.7%	5.6%	NO	1727	-84	0	1643	28	2315	2108	77.9%	91.1%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Garner
438	River Oaks Middle School	Special/Optional	River Oaks Middle	.6-8	M	S/O	0																0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	25.9%	25.9%					NO	0	0	0	0	0	0				District 4 (East Raleigh)	Rosa Gill	Eastern Wake County	Danny Barnes	Raleigh
439	Green Hope Elementary	Traditional	Standard	KI-5	E	T	837	137	150	130	134	134	152								398	439	0.1%	19.1%	1.9%	9.4%	65.4%	4.1%	3.1%	2.2%		7.9%	0.0%	1.6%	NO	609	35	0	644	6	782	837	76.9%	107.0%	District 7 (West Raleigh)	Patti Head	Western Wake County	Kathryn Chontos	Cary
440	Green Elementary	Year-Round	Standard Y/R	KI-5	E	Y-R	588	70	98	104	100	100	116								300	288	0.2%	3.6%	17.9%	25.2%	47.8%	5.4%	8.6%	8.7%		38.3%	12.8%	16.7%	YES	630	-78	3	621	4	644	588	93.9%	91.3%	District 6 (Central Raleigh)	Beverley Clark	Northern Wake County	Ann Hooker	Raleigh
441	Green Hope High	Traditional	Standard	.9-12	H	T	2085										479	507	575	524	1050	1035	0.2%	12.6%	3.7%	6.2%	74.9%	2.4%			1.3%	5.8%	1.3%	2.6%	NO	1639	-12	0	1627	9	1843	2085	78.0%	113.1%	District 7 (West Raleigh)	Patti Head	Western Wake County	Kathryn Chontos	Cary
442	Hilburn Drive Elementary	Traditional	Standard	KI-5	E	T	775	116	144	144	133	113	125								403	372	0.1%	3.1%	11.1%	23.0%	58.1%	4.6%	5.2%	4.9%		25.7%	4.3%	8.3%	NO	540	26	3	635	8	750	775	73.0%	103.3%	District 7 (West Raleigh)	Patti Head	Northern Wake County	Ann Hooker	Raleigh
443	Highcroft Drive Elementary	Traditional	Standard	KI-5	E	T	862	183	145	167	122	144	101								452	410	0.1%	11.9%	1.9%	4.3%	76.9%	4.9%	2.2%	1.7%		4.5%	0.0%	1.9%	NO	609	0	0	609	6	747	862	70.6%	115.4%	District 8 (South Wake)	Ron Margiotta	Western Wake County	Kathryn Chontos	Cary
444	Heritage Middle	Year-Round	Standard Y-R	.6-8	M	Y-R	1231							429	406	396					616	615	0.4%	2.4%	5.4%	25.2%	62.8%	3.9%	7.5%	7.6%		23.2%	1.9%	2.8%	NO	1293	0	0	1293	0	1293	1231	105.0%	95.2%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Wake Forest
446	Hodge Road Elementary	Traditional	Standard	KI-5	E	T	663	111	116	120	109	91	116								341	322	0.3%	2.3%	35.1%	37.9%	19.9%	4.5%	100.0%	13.8%		64.0%	16.1%	25.0%	YES	563	-138	0	425	5	540	663	64.1%	122.8%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Knightdale
447	Holly Springs Elementary	Traditional	Standard	KI-5	E	T	818	158	160	114	137	120	129								414	404	0.5%	1.5%	5.4%	17.6%	69.2%	5.9%	6.6%	9.1%		19.7%	0.0%	1.5%	NO	563	46	6	747	10	839	818	74.4%	97.5%	District 8 (South Wake)	Ron Margiotta	Southern Wake County	Lloyd Y. Gardner	Holly Springs
448	Hunter Elementary	Magnet	GT/Global/Int'l Magnet	KI-5	E	M	779	124	120	132	131	137	135								362	417	0.1%	8.3%	2.4%	38.8%	45.6%	4.7%	4.7%	6.4%		25.0%	0.0%	0.9%	NO	500	39	3	608	5	654	779	69.2%	119.1%	District 4 (East Raleigh)	Rosa Gill	Central Wake County	Jonibel Willis	Raleigh
449	Holly Ridge Elementary 	Traditional	Standard	KI-5	E	T	714	122	137	111	138	110	96								361	353	0.4%	1.4%	10.6%	22.1%	60.9%	4.5%	14.1%	15.3%		30.4%	4.6%	8.1%	NO	563	23	4	678	8	770	714	82.1%	92.7%	District 8 (South Wake)	Ron Margiotta	Southern Wake County	Lloyd Y. Gardner	Holly Springs
450	Holly Ridge Middle	Traditional	Standard	.6-8	M	T	1285							475	406	404					702	583	0.3%	1.5%	9.4%	20.3%	64.8%	3.7%	7.9%	8.1%		22.7%	1.2%	4.9%	NO	903	-62	0	841	14	1205	1285	65.4%	106.6%	District 8 (South Wake)	Ron Margiotta	Southern Wake County	Lloyd Y. Gardner	Holly Springs
451	Harris Creek Elementary	Traditional	Larger Standard	KI-5	E	T	832	170	140	115	137	123	147								439	393	0.0%	4.7%	15.4%	42.3%	32.8%	4.8%	13.5%	13.5%		40.1%	5.4%	14.5%	YES	768	0	0	768	0	768	832	92.3%	108.3%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Raleigh
452	Jeffreys Grove Elementary	Traditional	Standard	KI-5	E	T	585	102	106	101	85	90	101								279	306	0.7%	3.2%	8.9%	33.5%	49.6%	4.1%	14.2%	12.0%		39.8%	6.7%	7.4%	YES	471	-20	2	497	3	520	585	77.1%	112.5%	District 7 (West Raleigh)	Patti Head	Northern Wake County	Ann Hooker	Raleigh
453	Jones Dairy Elementary	Year-Round	Standard Y/R	KI-5	E	Y-R	955	157	149	176	159	162	152								513	442	0.3%	2.4%	3.4%	15.8%	74.8%	3.4%	7.3%	7.9%		16.6%	0.0%	1.3%	NO	699	0	0	699	10	929	955	73.2%	102.8%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Wake County
454	Heritage Elementary	Year-Round	Standard Y/R	KI-5	E	Y-R	964	160	159	164	138	165	178								479	485	0.2%	2.3%	4.8%	27.4%	61.3%	4.0%	12.8%	12.1%		29.8%	3.3%	5.6%	NO	722	-27	8	879	12	971	964	72.1%	99.3%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Wake Forest
455	Holly Springs High	Traditional	Standard	.9-10	H	T	805										453	352			414	391	0.5%	1.0%	9.4%	26.2%	59.8%	3.1%				21.4%	2.2%	3.5%	NO	943	0	0	943	0	943	805	117.1%	85.4%	District 8 (South Wake)	Ron Margiotta	Southern Wake County	Lloyd Y. Gardner	Holly Springs
456	Joyner Elementary	Magnet	International Baccalaureate	KI-5	E	M	525	115	111	88	80	72	59								267	258	0.4%	0.6%	13.9%	37.3%	42.9%	5.0%	17.9%	16.2%		41.3%	4.8%	7.8%	YES	431	0	0	431	0	431	525	82.1%	121.8%	District 6 (Central Raleigh)	Beverley Clark	Central Wake County	Jonibel Willis	Raleigh
457	Holly Grove Elementary	Year-Round	Larger Year Round	KI-5	E	Y-R	462	100	88	75	69	73	57								237	225	0.2%	1.1%	6.3%	12.8%	75.1%	4.5%				13.2%	0.0%	2.2%	NO	562	0	0	562	0	562	462	121.5%	82.4%	District 8 (South Wake)	Ron Margiotta	Southern Wake County	Lloyd Y. Gardner	Holly Springs
460	Kingswood Elementary 	Traditional	Standard	KI-5	E	T	408	80	77	75	56	71	49								214	194	0.0%	10.8%	15.2%	29.7%	37.5%	6.9%	16.0%	13.2%		39.7%	13.7%	15.7%	NO	356	46	0	402	0	402	408	98.5%	101.5%	District 9 (Western Wake)	Eleanor Goettee	Western Wake County	Kathryn Chontos	Cary
464	Knightdale Elementary	Traditional	Standard	KI-5	E	T	676	134	120	103	103	114	102								356	320	0.4%	1.2%	22.2%	44.5%	26.2%	5.5%	10.8%	12.1%		58.1%	10.5%	14.5%	YES	494	-200	0	294	14	616	676	43.5%	109.7%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Knightdale
